Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2016-10-30,9.5,18.2,14.4,281.2,14.9,14.842,104.9,82.6,70.4,10
2016-11-02,10.5,16.4,15.7,209.8,13.4,0.0,140.4,34.8,66.2,11
2016-11-05,6.5,11.2,16.0,299.4,22.4,0.0,147.1,11.4,54.0,11
2016-11-08,7.0,11.6,16.0,292.9,10.5,0.0,144.5,8.6,47.4,11
2016-11-11,3.2,10.9,16.0,298.2,36.1,0.0,138.3,9.8,43.4,11
2016-11-14,9.9,11.3,16.0,237.1,12.5,0.0,125.8,18.5,32.2,11
2016-11-17,9.8,12.3,15.9,318.3,20.7,0.0,126.5,7.2,57.7,11
2016-11-20,1.6,4.2,14.2,281.4,37.1,11.356,69.9,99.1,62.3,11
2016-11-23,4.1,4.4,16.0,325.1,22.1,0.0,122.1,21.0,49.0,11
2016-11-26,10.0,8.1,15.1,327.7,19.2,0.0,102.1,56.3,70.1,11
2016-11-29,7.0,13.8,9.3,175.3,29.5,47.525,25.3,95.8,82.4,11
2017-09-01,3.3,17.6,16.0,324.5,18.4,0.0,279.7,10.4,45.5,9
2017-09-04,10.4,21.7,16.0,229.5,19.5,0.0,272.0,9.5,62.2,9
2017-09-07,7.3,18.8,14.1,268.8,18.7,2.104,263.4,50.0,71.4,9
2017-09-10,3.7,17.9,16.0,8.5,18.8,0.0,254.4,14.5,59.8,9
2017-09-13,8.8,21.9,15.8,252.8,13.1,0.591,215.0,41.9,71.4,9
2017-09-16,16.3,23.3,11.5,44.9,11.9,0.0,225.1,34.1,81.6,9
2017-09-19,8.1,22.7,15.3,38.4,23.3,5.357,104.7,86.9,78.4,9
2017-09-22,5.3,23.5,16.0,4.3,22.0,0.0,208.3,18.7,49.4,9
2017-09-25,12.5,25.5,15.9,93.4,15.2,0.0,222.6,3.0,66.6,9
2017-09-28,3.3,22.5,14.7,342.3,28.7,0.0,226.1,31.3,60.4,9
2017-10-01,4.3,15.0,16.0,12.1,14.6,0.0,222.9,17.7,60.0,10
2017-10-04,7.9,18.3,16.0,221.0,24.6,0.0,215.5,5.7,67.2,10
2017-10-07,8.6,22.6,13.7,157.5,21.8,0.0,114.2,30.8,78.6,10
2017-10-10,4.6,23.3,16.0,323.2,19.5,0.0,166.9,14.9,66.5,10
2017-10-13,4.2,15.1,16.0,66.1,16.1,0.0,140.3,72.8,71.6,10
2017-10-16,2.0,14.9,15.8,318.1,27.0,0.158,126.9,34.4,61.5,10
2017-10-19,8.5,17.0,15.9,228.6,19.8,0.0,184.3,6.1,53.8,10
2017-10-22,9.2,17.9,15.8,161.9,14.5,0.0,166.3,11.0,56.3,10
2017-10-25,5.5,17.1,15.6,311.0,12.5,1.657,95.2,42.0,66.6,10
2017-10-28,6.1,15.5,15.9,181.3,23.9,0.0,165.3,19.1,69.1,10
2017-10-31,5.0,10.6,16.0,255.5,28.4,0.0,156.9,10.1,50.2,10
2017-11-03,5.3,18.1,15.9,261.9,24.4,0.0,124.6,24.9,72.8,11
2017-11-06,6.1,15.9,13.3,249.3,22.5,0.099,87.7,75.8,82.7,11
2017-11-09,5.9,8.7,15.6,72.1,13.8,0.0,97.5,61.0,72.0,11
2017-11-12,11.8,3.6,16.0,240.5,14.9,0.0,102.6,15.5,49.2,11
2017-11-15,6.4,6.4,16.0,57.2,13.8,0.0,124.6,58.9,67.5,11
2017-11-18,8.8,6.1,15.7,195.8,16.5,2.9,55.8,39.2,64.3,11
2017-11-21,7.5,9.1,16.0,212.3,30.0,0.0,112.4,12.6,51.5,11
2017-11-24,10.8,5.1,16.0,236.8,12.9,0.0,121.2,1.6,50.9,11
2017-11-27,4.9,6.5,16.0,290.0,27.3,0.0,118.4,10.9,47.4,11
2017-11-30,6.4,6.3,15.9,30.1,12.2,0.142,68.1,34.3,63.3,11
2018-09-02,7.2,23.8,16.0,189.5,15.1,0.0,131.0,51.9,76.2,9
2018-09-05,11.8,28.2,15.9,147.7,17.1,0.0,173.6,16.3,71.6,9
2018-09-08,5.0,19.9,16.0,25.2,18.9,0.494,56.0,79.2,71.0,9
2018-09-11,5.2,20.2,7.4,16.3,15.2,1.134,73.1,99.4,91.4,9
2018-09-14,3.8,22.4,14.7,66.6,16.8,0.0,52.3,100.0,81.6,9
2018-09-17,5.6,23.4,15.6,167.2,18.2,0.207,81.8,68.7,81.6,9
2018-09-20,3.5,20.3,16.0,81.9,13.9,0.0,111.5,98.3,72.8,9
2018-09-23,3.4,17.4,16.0,26.7,11.3,0.0,64.9,73.0,68.4,9
2018-09-26,5.4,24.3,12.5,225.9,20.6,5.009,210.1,83.6,87.6,9
2018-09-29,5.4,17.9,15.6,324.7,14.3,0.0,144.7,23.8,72.1,9
2018-10-02,8.7,22.5,14.6,195.1,21.0,9.687,81.2,83.9,80.4,10
2018-10-05,4.3,18.8,16.0,21.5,17.0,0.0,118.0,53.9,69.0,10
2018-10-08,5.8,19.5,10.3,69.9,13.7,0.142,17.3,98.8,89.3,10
2018-10-11,4.3,22.9,13.4,207.3,20.8,19.436,172.1,90.2,90.8,10
2018-10-14,5.1,11.4,16.0,243.8,15.3,0.0,152.1,23.2,66.5,10
2018-10-17,4.6,11.7,16.0,269.9,35.3,0.0,184.8,29.3,56.3,10
2018-10-20,6.3,14.2,15.6,236.6,24.3,1.284,158.1,69.0,69.2,10
2018-10-23,6.2,12.2,16.0,270.2,29.7,0.0,114.9,64.6,61.1,10
2018-10-26,4.7,6.8,15.8,78.1,16.2,0.0,76.9,54.2,63.6,10
2018-10-29,3.6,11.0,15.7,267.3,24.1,1.879,67.4,85.7,74.6,10
2018-11-01,13.3,17.1,15.8,190.5,17.8,0.0,90.6,43.0,73.1,11
2018-11-04,3.1,9.3,16.0,324.2,15.0,0.0,131.5,7.5,57.4,11
2018-11-07,3.1,14.3,15.6,236.9,22.8,0.0,90.9,19.5,57.1,11
2018-11-10,3.1,6.2,14.7,286.3,37.4,1.256,131.7,42.8,59.0,11
2018-11-13,6.1,7.8,10.2,332.6,25.0,26.637,113.7,94.9,82.5,11
2018-11-16,2.9,4.4,12.5,319.5,36.1,10.107,192.1,70.5,76.9,11
2018-11-19,14.8,7.7,14.5,6.6,13.0,0.0,63.7,68.6,73.5,11
2018-11-22,2.2,-4.8,16.0,327.6,32.3,0.0,94.2,4.6,39.0,11
2018-11-25,4.5,10.2,14.2,342.7,28.4,22.994,70.8,83.0,72.1,11
2018-11-28,1.3,4.0,16.0,292.7,35.6,0.0,41.0,98.0,58.2,11
2019-09-03,6.7,23.3,16.0,12.9,16.6,0.0,192.3,12.5,65.3,9
2019-09-06,3.8,17.9,14.8,41.9,22.8,3.495,50.5,63.2,74.9,9
2019-09-09,4.5,21.5,15.9,62.8,14.5,0.0,132.8,54.0,63.1,9
2019-09-12,9.0,23.6,13.9,27.5,17.8,2.676,46.2,70.9,76.7,9
2019-09-15,5.7,23.7,15.7,310.0,15.1,0.0,184.2,32.6,62.5,9
2019-09-18,4.2,17.5,16.0,52.1,16.7,0.0,147.0,34.7,58.1,9
2019-09-21,10.1,22.1,15.8,325.4,9.6,0.0,174.3,7.5,52.9,9
2019-09-24,3.2,21.7,15.8,301.9,24.3,1.932,135.7,43.6,55.9,9
2019-09-27,5.9,19.2,16.0,229.3,15.4,0.0,168.4,6.3,61.7,9
2019-09-30,3.9,18.3,16.0,83.1,17.3,0.0,99.5,60.6,56.3,9
2019-10-03,2.6,13.8,7.4,50.8,19.5,7.319,16.1,95.4,88.8,10
2019-10-06,3.9,18.0,15.9,168.6,17.2,0.158,29.9,90.7,69.4,10
2019-10-09,3.7,13.5,14.1,31.4,25.2,12.788,31.8,78.3,71.3,10
2019-10-12,4.4,16.0,16.0,6.5,14.7,0.0,118.0,67.2,60.7,10
2019-10-15,6.0,14.3,16.0,321.2,13.2,0.0,136.4,6.0,51.3,10
2019-10-18,1.7,11.7,16.0,313.7,28.4,0.0,117.4,61.9,53.7,10
2019-10-21,6.4,14.4,16.0,25.7,15.9,0.41,128.6,22.8,68.2,10
2019-10-24,5.2,14.0,16.0,214.9,19.4,0.0,122.3,0.9,44.4,10
2019-10-27,3.1,15.6,12.1,115.9,23.3,45.128,16.2,77.1,83.9,10
2019-10-30,3.8,15.7,4.6,37.9,10.8,0.541,82.6,98.9,93.1,10
2019-11-02,4.6,7.6,16.0,210.6,18.8,0.0,105.0,27.8,57.5,11
2019-11-05,7.3,12.4,16.0,249.8,13.2,0.0,41.2,42.9,62.3,11
2019-11-08,1.8,2.0,16.0,323.6,31.1,0.0,107.9,21.0,51.6,11
2019-11-11,18.6,11.6,15.9,200.3,10.2,0.0,80.7,25.6,68.2,11
2019-11-14,7.6,2.2,16.0,236.1,14.2,0.0,91.3,23.1,50.5,11
2019-11-17,5.5,2.5,16.0,39.0,23.7,0.0,62.1,72.9,60.3,11
2019-11-20,6.3,6.2,16.0,331.8,23.6,0.0,58.1,64.1,63.2,11
2019-11-23,4.7,4.4,16.0,261.7,16.4,0.512,81.1,22.8,53.2,11
2019-11-26,14.1,10.2,15.5,213.9,16.8,0.0,81.0,8.9,67.0,11
2019-11-29,2.6,1.5,16.0,339.4,24.4,0.0,68.2,15.8,58.4,11
2020-09-01,6.4,22.1,14.5,116.4,15.1,4.543,74.8,71.1,76.8,9
