Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2017-06-06,2.7,13.4,12.1,52.5,18.4,2.511,138.3,96.4,87.9,6
2017-06-09,6.0,20.2,16.0,293.1,25.9,0.0,326.3,23.1,51.6,6
2017-06-12,15.2,29.1,16.0,258.4,19.3,0.0,352.9,4.8,47.5,6
2017-06-15,5.7,21.0,16.0,155.3,19.5,0.0,315.5,24.4,53.8,6
2017-06-18,11.2,25.3,10.9,171.4,23.4,0.0,295.0,65.0,82.3,6
2017-06-21,9.4,25.2,16.0,269.0,21.9,0.142,320.1,24.0,53.6,6
2017-06-24,4.5,26.1,14.5,275.8,29.4,29.619,308.1,31.2,64.6,6
2017-06-27,6.4,21.1,15.3,280.5,23.6,3.319,286.1,47.4,59.3,6
2017-06-30,11.9,27.3,16.0,203.4,20.3,0.0,290.4,40.9,60.0,6
2017-07-03,8.6,26.9,15.5,287.3,19.5,2.179,308.6,26.7,57.3,7
2017-07-06,5.4,23.3,16.0,138.3,15.0,0.0,123.6,50.4,60.5,7
2017-07-09,6.5,24.0,16.0,301.9,18.0,0.0,357.3,16.4,50.0,7
2017-07-12,13.9,28.1,16.0,266.7,27.0,0.0,236.5,39.9,67.5,7
2017-07-15,5.0,24.0,11.2,343.1,17.3,0.343,284.8,74.1,74.0,7
2017-07-18,7.2,27.0,16.0,182.4,19.5,0.0,316.2,21.7,71.1,7
2017-07-21,8.5,28.8,16.0,291.5,18.6,0.0,307.5,33.3,58.9,7
2017-07-24,5.1,20.2,12.5,55.7,21.3,20.31,180.5,88.8,83.8,7
2017-07-27,7.7,22.4,16.0,214.4,12.8,0.0,173.3,58.1,76.9,7
2017-07-30,4.6,22.7,16.0,18.3,15.5,0.0,336.7,3.8,48.8,7
2017-08-02,15.8,24.7,14.7,324.3,20.9,8.397,160.2,26.0,74.6,8
2017-08-05,4.8,23.8,15.2,261.1,23.6,5.488,221.1,62.3,71.9,8
2017-08-08,5.8,22.0,14.1,347.2,16.6,0.0,170.7,66.6,73.1,8
2017-08-11,6.3,23.8,16.0,173.8,17.1,0.059,223.8,42.2,60.9,8
2017-08-14,7.8,24.1,16.0,84.0,10.8,0.0,140.2,23.2,67.5,8
2017-08-17,8.5,24.2,15.9,74.9,14.8,0.0,286.8,33.5,62.5,8
2017-08-20,7.2,24.8,16.0,309.1,18.9,0.0,295.5,13.7,59.3,8
2017-08-23,5.5,24.5,15.0,292.0,26.3,5.667,204.5,40.5,62.6,8
2017-08-26,5.8,20.7,15.9,26.7,12.6,0.0,284.7,4.9,51.3,8
2017-08-29,5.3,18.4,15.5,57.6,17.9,4.545,68.4,58.0,78.5,8
2018-06-01,10.9,22.5,8.0,72.9,9.6,0.662,159.8,77.4,84.9,6
2018-06-04,8.9,15.8,12.9,45.2,15.2,12.957,338.7,82.2,77.8,6
2018-06-10,9.1,19.9,16.0,8.5,12.2,0.142,75.9,85.2,58.0,6
2018-06-13,8.4,21.4,14.8,208.4,16.4,1.355,83.1,75.2,75.4,6
2018-06-16,7.6,23.4,16.0,321.8,11.2,0.0,319.5,8.0,46.3,6
2018-06-19,7.4,27.7,15.5,330.7,22.1,1.132,309.3,33.6,56.7,6
2018-06-22,5.5,21.7,15.9,89.2,17.8,0.0,167.9,49.3,67.9,6
2018-06-25,5.5,23.7,16.0,342.1,21.2,0.0,308.7,29.7,53.4,6
2018-06-28,6.7,24.3,12.6,188.6,18.9,32.846,168.6,78.8,83.6,6
2018-07-01,19.6,30.8,15.5,282.2,14.0,0.0,245.8,10.7,54.2,7
2018-07-04,18.0,27.4,12.0,330.5,10.5,6.406,119.8,42.2,76.1,7
2018-07-07,2.9,20.9,16.0,53.6,21.6,0.0,307.8,6.3,46.4,7
2018-07-13,10.5,24.9,16.0,168.6,15.9,0.0,238.9,13.7,54.6,7
2018-07-16,14.4,28.3,15.5,182.8,22.3,0.0,214.9,15.8,68.3,7
2018-07-19,5.8,23.4,16.0,71.7,15.8,0.0,283.3,1.8,46.3,7
2018-07-22,5.2,24.3,11.2,137.1,33.0,30.592,277.6,98.8,85.6,7
2018-07-25,5.3,25.2,13.5,165.9,27.6,16.119,98.9,98.1,86.8,7
2018-07-28,9.8,25.4,13.0,250.9,15.2,0.0,242.8,35.0,74.7,7
2018-07-31,8.3,23.9,15.7,131.2,17.1,0.0,201.9,25.5,70.2,7
2018-08-09,9.1,27.6,14.9,314.4,19.5,10.897,201.6,38.2,65.8,8
2018-08-12,7.7,25.1,12.9,43.1,15.0,0.0,155.9,70.2,82.2,8
2018-08-15,12.3,26.4,15.7,278.3,17.1,0.0,207.1,26.0,66.1,8
2018-08-18,8.4,25.4,13.9,280.7,19.5,19.574,152.4,72.0,82.1,8
2018-08-21,5.1,22.9,16.0,130.2,17.7,0.107,166.5,73.4,73.4,8
2018-08-24,10.4,23.2,16.0,237.9,13.2,0.0,390.8,9.0,56.5,8
2018-08-27,17.1,27.5,15.0,262.8,13.1,0.0,175.0,21.8,68.1,8
2018-08-30,7.8,29.2,15.9,323.9,20.0,0.0,169.9,20.1,61.0,8
2019-06-02,11.3,22.0,13.9,244.1,22.4,9.124,238.4,34.7,69.1,6
2019-06-05,12.3,22.6,15.8,205.7,23.4,0.0,203.2,49.9,58.4,6
2019-06-08,6.9,22.2,15.5,82.6,21.5,0.0,290.5,12.2,52.2,6
2019-06-11,2.9,21.5,12.4,321.4,28.1,12.605,292.0,42.6,62.8,6
2019-06-14,3.8,18.8,14.9,267.8,25.7,0.099,233.6,40.7,61.6,6
2019-06-17,9.2,22.9,15.9,338.0,13.3,0.0,110.6,72.9,75.0,6
2019-06-20,7.4,21.5,5.8,76.5,10.2,11.092,213.5,87.7,90.8,6
2019-06-23,4.1,23.8,16.0,298.4,25.9,0.0,308.3,5.5,44.8,6
2019-06-26,8.0,26.7,15.2,312.7,15.1,0.0,298.8,9.4,58.0,6
2019-06-29,11.5,26.8,15.7,257.7,22.3,6.501,233.5,17.1,62.9,6
2019-07-02,7.8,26.2,15.8,300.2,11.4,0.959,156.3,34.2,55.4,7
2019-07-05,12.6,26.0,14.1,172.7,19.0,0.0,265.6,68.9,74.3,7
