Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2016-12-26,7.2,3.0,13.1,34.7,14.8,0.402,71.7,79.6,73.0,12
2016-12-29,7.1,3.4,13.0,252.0,19.3,8.981,42.4,57.3,75.9,12
2017-01-01,6.2,6.3,16.0,274.4,23.1,0.0,108.4,25.4,45.7,1
2017-01-04,5.7,6.8,14.6,267.2,33.8,0.658,79.7,56.8,67.2,1
2017-01-07,9.1,-5.3,8.1,3.3,23.2,6.513,26.9,81.2,67.4,1
2017-01-10,12.0,-1.3,16.0,187.4,18.9,0.0,84.4,46.8,65.9,1
2017-01-13,4.1,8.1,16.0,317.8,29.0,0.0,120.1,19.4,54.0,1
2017-01-16,17.0,2.2,16.0,246.9,15.7,0.0,120.6,21.5,55.4,1
2017-01-19,6.3,5.9,16.0,309.0,17.4,0.0,112.3,69.8,73.6,1
2017-01-22,13.7,7.9,7.0,61.3,27.3,0.549,70.2,97.8,89.8,1
2017-01-25,4.5,6.3,16.0,301.8,25.7,0.044,133.5,43.8,61.5,1
2017-01-28,5.0,2.8,16.0,256.7,26.6,0.0,89.7,85.9,51.4,1
2017-01-31,9.7,-1.4,11.9,44.4,13.9,1.657,63.7,73.7,67.3,1
2017-02-03,6.0,-0.9,16.0,305.3,24.9,0.0,68.0,31.0,42.3,2
2017-02-06,12.5,5.6,15.8,292.4,29.0,0.0,154.0,30.1,47.5,2
2017-02-09,3.7,-1.3,8.7,339.7,37.4,19.407,47.3,69.3,66.2,2
2017-02-12,13.6,1.3,9.5,53.3,19.9,13.337,34.8,80.0,83.7,2
2017-02-15,13.6,3.9,15.0,286.9,26.7,0.0,58.5,43.0,69.0,2
2017-02-18,12.4,8.9,16.0,226.1,20.5,0.0,165.2,9.0,43.1,2
2017-02-21,6.9,4.9,16.0,156.5,21.0,0.0,116.5,13.2,50.3,2
2017-02-24,6.1,16.4,16.0,179.3,20.9,0.0,162.7,20.8,71.9,2
2017-02-27,8.4,6.7,16.0,221.9,21.1,0.0,133.5,26.6,43.6,2
2017-12-03,15.7,6.9,15.8,25.4,9.8,0.0,67.6,75.8,74.5,12
2017-12-06,4.5,7.7,15.5,262.7,24.2,0.182,46.1,41.3,50.0,12
2017-12-09,10.7,0.6,7.8,358.6,13.9,9.453,28.0,94.4,72.1,12
2017-12-12,8.1,6.1,15.8,242.7,31.0,0.142,25.0,74.2,65.4,12
2017-12-15,7.5,-4.8,12.6,292.4,15.0,2.716,35.5,45.0,63.8,12
2017-12-18,18.8,4.5,14.6,350.0,13.3,0.438,70.0,93.0,70.2,12
2017-12-21,4.1,2.2,16.0,333.5,13.3,0.0,104.2,18.4,45.6,12
2017-12-24,6.2,3.7,15.6,27.4,22.8,0.241,44.1,33.3,65.2,12
2017-12-27,6.7,-6.1,16.0,313.9,22.8,0.0,84.3,35.0,42.6,12
2017-12-30,15.8,-6.6,12.2,265.7,18.3,1.646,26.5,59.4,66.4,12
2018-01-02,8.5,-7.4,16.0,268.6,27.7,0.0,68.1,10.5,51.1,1
2018-01-05,4.3,-10.4,15.8,291.2,37.4,19.327,50.6,16.6,43.9,1
2018-01-11,18.2,6.5,14.3,54.4,13.4,0.0,42.2,75.7,77.8,1
2018-01-14,3.3,-7.3,16.0,355.2,21.7,0.0,88.8,6.4,44.3,1
2018-01-17,13.8,-0.3,10.7,330.2,21.6,4.142,22.2,90.1,80.4,1
2018-01-20,9.1,5.8,16.0,252.8,27.2,0.0,112.8,12.5,47.5,1
2018-01-23,6.1,9.1,9.1,278.5,27.3,9.457,50.1,79.4,79.6,1
2018-01-26,6.5,-0.2,16.0,249.7,14.2,0.0,101.6,14.7,39.7,1
2018-01-29,6.7,5.4,16.0,42.2,27.7,0.0,58.6,56.2,58.6,1
2018-02-01,10.3,3.6,15.9,210.9,14.5,0.738,56.0,72.8,57.4,2
2018-02-04,7.6,2.5,12.4,218.1,18.2,23.3,42.3,98.0,65.2,2
2018-02-07,9.7,0.9,10.5,31.6,32.7,22.269,11.4,75.1,77.6,2
2018-02-10,17.2,5.9,8.8,24.5,8.9,14.672,37.8,89.2,85.3,2
2018-02-13,7.1,-0.2,16.0,5.1,17.4,0.0,121.3,26.8,50.8,2
2018-02-16,5.1,11.0,13.9,299.0,28.4,3.486,34.2,69.8,75.3,2
2018-02-19,10.0,5.7,13.4,160.8,24.6,1.041,58.6,59.6,76.4,2
2018-02-22,2.8,7.0,13.7,28.5,20.9,5.644,26.2,100.0,72.7,2
2018-02-25,5.3,5.8,9.8,54.5,23.2,19.303,18.2,100.0,88.9,2
2018-02-28,8.1,10.1,16.0,208.6,15.8,0.0,142.6,22.7,47.7,2
2018-12-07,6.0,1.7,16.0,308.1,30.0,0.0,69.6,19.8,47.9,12
2018-12-10,10.5,0.7,16.0,5.0,20.0,0.0,67.0,7.1,54.0,12
2018-12-13,11.4,1.9,11.5,45.7,23.1,0.813,175.2,85.6,75.6,12
2018-12-16,4.9,4.7,8.0,33.0,31.5,34.813,7.5,100.0,86.6,12
