Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
12/9/2013,5.8,2.1,7.2,16.7,21.5,6.91,22.2,85.9,86.1
12/12/2013,6.3,-3.3,16,294,21,0,101.8,10,44.2
12/15/2013,7.5,1.9,12.8,309.4,23.6,17.579,84.6,89.8,73.7
12/18/2013,15.1,-1,15.8,286.3,20.9,0,95.2,35.9,61.6
12/21/2013,32.7,12.3,15.6,220.4,17.1,0.383,93,36.3,71.7
12/24/2013,4.9,2.5,15.8,325.9,29.1,0,86.9,47,52.5
12/27/2013,12.2,2,16,264.2,19.5,0,105.8,33.1,51.4
12/30/2013,5.8,2.6,16,311.1,27.4,0,59.5,38.3,62.4
1/2/2014,11.2,-3,12,38.1,24.8,2.915,21,100,72.3
1/5/2014,26,-2,7.4,4.9,10.3,1.102,20.3,70.8,79.7
1/8/2014,12.3,-9,16,264.4,17.3,0,116.3,24.3,43.1
1/11/2014,8.2,9.8,7.2,183.1,26.2,7.811,36.7,99.5,90.7
1/14/2014,8.4,8.3,13.2,225.2,15.4,4.9,15.9,79.8,80.1
1/17/2014,14.8,3.3,15.8,199.8,18.5,0,114.4,24.1,59.1
1/20/2014,6.7,4.1,15.9,253.5,27.9,0,82.3,67.4,50.6
1/23/2014,7.2,-9.9,16,284.5,29,0,103.1,39.1,48.9
1/26/2014,4.2,-5.5,15.7,260.2,32.8,0,100.3,47.8,47.3
1/29/2014,8,-7.7,13.5,279.1,21.1,0.666,134.5,35.9,44.8
2/1/2014,28.4,3.4,15.6,156.9,14.8,0,95.7,20.8,51
2/4/2014,17.4,-1.6,13.2,16.2,9.1,0,118,36.6,68.2
2/7/2014,15.1,-1.9,16,259.1,22.1,0,153.7,13.2,52.4
2/10/2014,17.7,-3.9,15.5,305.2,29.3,0,150.8,11.2,52.2
2/13/2014,5.3,-0.5,4.1,31.2,30.3,45.223,38.4,100,84.6
2/16/2014,8.5,-3.7,16,299.9,29.8,0,145.7,42.2,50.5
2/19/2014,26.6,2.8,10.9,352.2,17.5,5.967,85.2,52.2,72.7
2/22/2014,6.6,6.8,15.8,220.5,35.4,0,180,7,49.3
2/25/2014,7.8,-2.1,15.9,291.5,26.3,0,62.2,47.3,45.3
2/28/2014,7.5,-8.2,16,308.8,27.9,0,212.7,2.9,33.8
3/3/2014,6.1,-5,14.4,345.5,23,0.472,62.4,61.6,44.4
3/6/2014,7.8,-4.4,16,38.1,21.6,0,190.9,11.1,40.9
3/9/2014,9.6,4.5,15.5,314.4,20.2,0,223.5,43.2,40.7
3/12/2014,9.2,10.2,12.5,48.8,33.7,7.025,101.8,71.8,65.9
3/15/2014,5.3,10.2,16,260.9,30.9,0,214.8,56.5,37.4
3/18/2014,7.3,1,16,58.9,21.7,0,246.6,6.1,35.2
3/21/2014,4.6,6.8,16,294.4,25.2,0,252.5,35.9,37.5
3/27/2014,8.6,0.4,16,251.6,28.1,0,240.4,11.9,37.9
3/30/2014,1.7,7.5,8.9,18.8,26.8,31.058,76.1,100,84.8
4/2/2014,17.7,8.4,15.5,179.9,12.4,0,99.3,36.7,67.8
4/5/2014,4.1,8.2,14.6,304.5,36.7,2.384,268.3,60.1,58.8
4/8/2014,8.5,12.3,9.8,280.2,29,8.748,97.2,75.8,68.6
4/11/2014,8.7,16.9,16,227.2,18.5,0,138.7,39.9,44
4/14/2014,13.2,19.4,16,179.7,36.1,0,239.6,26.4,60.7
4/17/2014,7.1,5.5,16,74.1,20.9,0,310.3,19.4,47.4
4/20/2014,7.5,10.7,16,98.2,21.5,0,308.9,10.8,39.2
4/23/2014,3.6,12.2,15.9,314.1,39.9,0,259.9,78.3,51.4
4/26/2014,6.2,11.9,12.8,28.1,18.1,19.561,260.5,84.5,70
4/29/2014,4.7,9.2,15.7,99.9,25,1.734,153.4,87.5,65.2
5/2/2014,6.2,17.1,16,272.5,22.5,0,294.9,75.1,46.9
5/8/2014,16.4,13.2,7.5,91.3,11.1,10.908,200.6,97,83.7
5/11/2014,7,21.7,15.8,296.7,21.1,4.719,338.4,24.7,44.5
5/14/2014,10.7,15.1,14.2,106.7,14,0,224.4,77.3,71
5/17/2014,8.6,17,16,283.6,19,1.032,325.2,32.7,55.3
5/20/2014,7.1,19.9,16,315.2,19.6,0,337.5,16.8,37.7
5/23/2014,7.1,17,8.7,48.5,18,20.823,171.5,98.6,81
5/26/2014,8.4,24.6,16,254,23,0,295.4,21.8,41.9
5/29/2014,6.2,14.3,16,90.1,16.4,0,329.5,68.1,59.1
6/1/2014,6.8,19.2,16,186.8,17.4,0,362.8,12.7,42.3
6/4/2014,14,22.4,12.8,62.2,15.7,0,268.3,51.5,63.3
6/7/2014,5.3,22.4,16,336.9,12,0,356.3,10.4,49.6
6/10/2014,11.5,21.6,8.7,52,12,0,221.5,86.1,80.4
6/13/2014,8.7,20.9,7.1,76.7,13.5,26.688,172.9,80.1,85.3
