Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2016-03-16,7.9,12.0,15.7,167.9,18.6,0.52,177.8,42.7,73.7,3
2016-03-19,2.3,5.4,16.0,348.7,20.6,0.0,139.5,19.8,35.4,3
2016-03-22,7.1,7.1,16.0,248.8,29.1,0.0,244.6,12.0,38.0,3
2016-03-25,9.7,14.3,11.9,320.7,21.1,1.774,145.1,80.4,67.4,3
2016-03-28,2.9,9.2,10.7,318.7,33.5,9.93,107.2,95.1,70.4,3
2016-03-31,6.7,15.1,16.0,199.1,29.4,0.0,247.3,34.7,52.4,3
2016-04-03,2.4,4.0,15.6,300.6,38.7,4.917,253.1,57.5,44.8,4
2016-04-06,5.3,3.7,16.0,172.7,27.2,0.0,276.5,18.9,39.5,4
2016-04-09,4.9,4.1,14.6,13.5,19.2,1.916,90.0,67.4,59.1,4
2016-04-12,5.7,11.7,14.8,294.6,22.6,4.869,113.0,47.2,59.7,4
2016-04-15,5.8,10.7,16.0,75.8,17.1,0.0,306.0,1.6,46.1,4
2016-04-18,8.2,17.9,16.0,86.4,18.2,0.0,304.4,12.2,33.0,4
2016-04-21,9.3,16.1,16.0,204.4,24.1,0.0,283.0,14.1,38.4,4
2016-04-24,5.1,13.1,16.0,17.4,20.3,0.0,317.8,6.3,29.1,4
2016-04-27,5.9,11.3,16.0,127.6,19.3,0.0,269.0,63.2,62.5,4
2016-04-30,5.2,11.8,16.0,130.4,18.0,0.103,315.1,59.1,54.9,4
2016-05-03,7.6,11.9,8.0,68.0,15.6,18.132,93.8,99.6,87.4,5
2016-05-06,3.9,10.6,11.2,63.2,19.4,14.195,83.6,100.0,83.6,5
2016-05-09,8.7,16.6,16.0,266.7,29.9,0.0,297.3,33.2,36.9,5
2016-05-12,13.6,18.9,15.8,102.2,16.0,0.0,338.3,14.1,45.5,5
2016-05-15,2.8,11.3,16.0,279.3,34.0,0.0,297.3,58.4,49.2,5
2016-05-18,8.1,14.8,16.0,110.7,18.8,0.0,300.7,51.1,52.3,5
2016-05-21,9.0,16.0,15.9,86.1,15.0,0.644,116.1,56.7,53.2,5
2016-05-24,7.0,18.5,14.3,328.9,11.6,4.394,112.4,90.8,67.8,5
2016-05-27,18.8,25.7,14.4,169.9,16.9,0.0,275.5,27.6,56.0,5
2016-05-30,7.4,23.4,12.3,204.0,17.8,34.456,160.1,74.5,79.5,5
2017-03-02,3.1,8.9,16.0,286.2,42.7,0.237,207.1,16.2,37.2,3
2017-03-08,4.2,12.7,15.8,255.7,29.1,0.75,197.1,50.4,49.0,3
2017-03-11,2.5,-4.8,15.9,306.9,34.2,0.0,110.2,52.6,44.3,3
2017-03-14,3.7,-1.4,5.5,5.9,36.9,41.417,48.2,85.3,81.3,3
2017-03-20,5.5,5.9,16.0,333.3,21.6,0.0,248.3,26.0,35.3,3
